"Project","Type","Patreon","patrons","P monthly revenue","OpenCollective","Team size","OC yearly revenue","OC sponsors","OC backers","GitHub","License","Contributor FTE","GH dependents","GH watch","GH star","GH fork","YEARLY REVENUE","REVENUE / STAR","REVENUE / DONATOR","REVENUE / FTE","FUNDING MISSING"
"Vue.js","Library","/evanyou",211,$19394,"/vuejs",19,$104173,64,224,"vuejs/vue","MIT",1,870451,5908,140857,20258,"=E2*12+H2","=R2/P2","=R2/(I2+J2+D2)","=R2/M2","=MAX(0,40000-U2)"
"Electron","Library",,,,"/electron",1,$27439,21,44,"electron/electron","MIT",6,82601,2766,74070,9663,"=E3*12+H3","=R3/P3","=R3/(I3+J3+D3)","=R3/M3","=MAX(0,40000-U3)"
"webpack","Library",,,,"/webpack",4,$446463,238,846,"webpack/webpack","MIT",3,2576087,1610,49308,6184,"=E4*12+H4","=R4/P4","=R4/(I4+J4+D4)","=R4/M4","=MAX(0,40000-U4)"
"Material-UI","Library",,,,"/material-ui",5,$141350,29,71,"mui-org/material-ui","MIT",4,0,1332,47765,10606,"=E5*12+H5","=R5/P5","=R5/(I5+J5+D5)","=R5/M5","=MAX(0,40000-U5)"
"Socket.io","Library",,,,"/socketio",2,$28315,44,36,"socketio/socket.io","MIT",0.5,1055981,1698,46582,8527,"=E6*12+H6","=R6/P6","=R6/(I6+J6+D6)","=R6/M6","=MAX(0,40000-U6)"
"Storybook","Library",,,,"/storybook",5,$21938,27,49,"storybookjs/storybook","MIT",4,0,640,38596,3150,"=E7*12+H7","=R7/P7","=R7/(I7+J7+D7)","=R7/M7","=MAX(0,40000-U7)"
"Jekyll","Library",,,,"/jekyll",4,$23833,18,24,"jekyll/jekyll","MIT",3,290809,1446,37928,8269,"=E8*12+H8","=R8/P8","=R8/(I8+J8+D8)","=R8/M8","=MAX(0,40000-U8)"
"Gatsby","Library",,,,"/gatsby",1,$6686,17,72,"gatsbyjs/gatsby","MIT",6,77360,822,35462,5180,"=E9*12+H9","=R9/P9","=R9/(I9+J9+D9)","=R9/M9","=MAX(0,40000-U9)"
"Babel","Library","/henryzhu",150,$3154,"/babel",6,$312232,82,424,"babel/babel","MIT",5,350015,863,33390,3553,"=E10*12+H10","=R10/P10","=R10/(I10+J10+D10)","=R10/M10","=MAX(0,40000-U10)"
"Parcel","Library",,,,"/parcel",1,$16416,24,91,"parcel-bundler/parcel","MIT",1,39958,492,31962,1459,"=E11*12+H11","=R11/P11","=R11/(I11+J11+D11)","=R11/M11","=MAX(0,40000-U11)"
